"Title","Price","ImageURL","URL","Time"
"Mike the Frog Shirt, Blue","$20","img/shirts/shirt-103.jpg","http://www.shirts4mike.com/shirt.php?id=103","Fri Jul 01 2016 09:28:00 GMT-0700 (PDT)"
"Logo Shirt, Red","$18","img/shirts/shirt-101.jpg","http://www.shirts4mike.com/shirt.php?id=101","Fri Jul 01 2016 09:28:00 GMT-0700 (PDT)"
"Logo Shirt, Green","$18","img/shirts/shirt-104.jpg","http://www.shirts4mike.com/shirt.php?id=104","Fri Jul 01 2016 09:28:00 GMT-0700 (PDT)"
"Mike the Frog Shirt, Yellow","$25","img/shirts/shirt-105.jpg","http://www.shirts4mike.com/shirt.php?id=105","Fri Jul 01 2016 09:28:00 GMT-0700 (PDT)"
"Mike the Frog Shirt, Black","$20","img/shirts/shirt-102.jpg","http://www.shirts4mike.com/shirt.php?id=102","Fri Jul 01 2016 09:28:00 GMT-0700 (PDT)"
"Logo Shirt, Gray","$20","img/shirts/shirt-106.jpg","http://www.shirts4mike.com/shirt.php?id=106","Fri Jul 01 2016 09:28:00 GMT-0700 (PDT)"
"Mike the Frog Shirt, Orange","$25","img/shirts/shirt-108.jpg","http://www.shirts4mike.com/shirt.php?id=108","Fri Jul 01 2016 09:28:00 GMT-0700 (PDT)"
"Logo Shirt, Teal","$20","img/shirts/shirt-107.jpg","http://www.shirts4mike.com/shirt.php?id=107","Fri Jul 01 2016 09:28:00 GMT-0700 (PDT)"
